HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
1,1,9.40709360e-05,1.50207609e-06,2.05110928e-06,725
1,2,2.58624386e-05,2.72069246e-05,3.69750660e-06,6962
1,3,8.55192484e-05,6.27249683e-05,3.33907815e-06,4633
1,4,2.33137489e-05,7.37412265e-05,4.20773034e-08,92
1,5,8.80454318e-05,7.67900565e-05,3.47104134e-07,331
1,6,2.33360606e-05,8.38034321e-05,5.05071853e-07,728
1,7,2.13643070e-05,8.57404302e-05,5.11106373e-06,3445
1,8,1.21274017e-04,9.31269678e-05,5.50214281e-07,738
1,9,4.33372315e-06,1.04141698e-04,2.16085436e-06,822
1,10,1.01368008e-04,1.08605847e-04,9.55503197e-07,1111
1,11,1.83043921e-05,1.14642418e-04,3.63768163e-06,10277
1,12,1.02340397e-04,1.13819813e-04,3.44899235e-07,202
1,13,5.59566506e-05,1.17090829e-04,9.50438164e-07,1249
1,14,1.14916656e-04,1.18705095e-04,1.65556037e-06,1395
1,15,9.76860319e-05,1.20323130e-04,5.07271579e-07,459
1,16,8.77249986e-05,7.68211685e-05,3.20081017e-06,10
1,17,8.36024192e-05,9.00959567e-05,9.11045117e-06,128
1,18,1.01575875e-04,1.10784917e-04,9.80404002e-06,1082
1,19,1.21950536e-04,9.12234245e-05,1.23738064e-05,2372
1,20,9.29489543e-05,1.11992093e-04,1.10232140e-05,579
1,21,4.89662962e-05,1.39203339e-05,1.67893122e-05,844
1,22,9.93282665e-05,4.60931587e-05,1.75547630e-05,1015
1,23,7.85732263e-05,4.55741028e-05,1.78159353e-05,87
1,24,1.06410887e-04,1.07279855e-04,1.79889394e-05,275
1,25,1.20866942e-04,7.70073384e-05,2.03135787e-05,451
1,26,1.34425609e-05,2.48543620e-05,2.08914789e-05,405
1,27,8.21758367e-05,6.75174670e-05,2.77774361e-05,6628
1,28,1.19382203e-05,3.93375012e-05,2.50155244e-05,345
1,29,1.31262714e-04,5.69957556e-05,2.65785147e-05,1890
1,30,1.00082732e-04,1.20894991e-04,2.47253192e-05,176
1,31,6.61435433e-06,7.04552731e-05,2.79006090e-05,465
1,32,1.27885025e-04,2.59452518e-05,3.17014128e-05,423
1,33,1.40508506e-04,1.64036337e-05,3.12671364e-05,54
1,34,7.58680108e-05,1.23542195e-04,3.20575091e-05,326
1,35,1.05567698e-04,3.85822532e-05,3.51190029e-05,1738
1,36,5.43027563e-05,8.59927823e-05,3.65347587e-05,788
1,37,2.57064730e-05,1.28452491e-04,3.73911571e-05,1228
1,38,9.84574872e-05,1.13969700e-05,3.66145869e-05,35
1,39,1.12241767e-04,3.58685720e-05,3.95217539e-05,351
1,40,9.42948536e-05,5.35026848e-05,4.01322504e-05,555
1,41,4.14283713e-05,1.33109497e-04,4.19529424e-05,2238
1,42,1.08319480e-04,2.25375134e-05,4.12424743e-05,812
1,43,7.62759082e-05,5.55852166e-05,4.48418614e-05,2425
1,44,5.73621401e-05,8.68009956e-05,4.06554973e-05,78
1,45,6.55152544e-05,1.35653871e-04,4.21975237e-05,375
1,46,8.82260210e-05,1.11550717e-05,4.27778832e-05,79
1,47,5.07748773e-05,6.33926975e-05,4.34904541e-05,56
1,48,1.41793453e-05,5.31922597e-05,4.54039618e-05,911
1,49,1.88097056e-05,5.68917385e-05,4.45792248e-05,459
1,50,7.06035862e-05,5.37814121e-05,4.61037234e-05,1048
1,51,2.88631509e-05,2.13528619e-05,4.71211097e-05,219
1,52,1.15451832e-04,4.27390041e-05,5.06939650e-05,2371
1,53,1.36829593e-04,1.13080918e-04,5.03177289e-05,201
1,54,1.10903939e-05,3.08740018e-05,5.09974925e-05,827
1,55,1.76285102e-05,7.09601300e-05,5.09928432e-05,286
1,56,4.42543933e-05,1.04918727e-04,5.08857956e-05,357
1,57,1.13129259e-04,2.44717303e-05,5.20480098e-05,404
1,58,4.58590548e-05,1.24704675e-04,5.45412477e-05,2614
1,59,3.36152079e-05,9.02037718e-05,5.35657928e-05,583
1,60,5.01018512e-05,9.03425826e-05,5.31685946e-05,492
1,61,1.13454073e-04,1.29383872e-04,5.42447306e-05,412
1,62,9.22956970e-05,1.17875912e-04,5.53793798e-05,25
1,63,7.79210895e-05,1.24325961e-04,5.72392055e-05,195
1,64,1.49511898e-05,3.75502532e-05,5.85992930e-05,342
1,65,9.19306913e-05,1.14269760e-05,5.89169904e-05,104
1,66,6.38039419e-05,5.20548965e-05,5.98903898e-05,497
1,67,7.89924306e-05,5.45674920e-05,6.10481875e-05,392
1,68,8.84514375e-05,6.67991771e-05,6.15454483e-05,1978
1,69,5.11328217e-05,2.52024965e-05,6.16494144e-05,627
1,70,6.98385556e-05,6.24055538e-05,6.24319437e-05,545
1,71,1.18232827e-04,2.81351240e-05,6.23264204e-05,314
1,72,3.98079574e-05,3.27274029e-05,6.26808833e-05,342
1,73,6.70658046e-05,8.92308090e-05,6.27876434e-05,176
1,74,5.33062994e-05,9.86143932e-05,6.18702834e-05,66
1,75,5.29525751e-05,1.02125290e-04,6.25660468e-05,389
1,76,1.46257125e-05,9.98926189e-05,6.27362533e-05,400
2,1,9.42430343e-05,2.62337630e-06,1.79466966e-07,69
2,2,2.58434175e-05,2.72770394e-05,3.91776257e-06,6512
2,3,1.01115424e-04,4.31386470e-05,2.10534793e-07,78
2,4,2.32338166e-07,5.58430511e-05,3.43850758e-07,107
2,5,2.43574905e-05,5.69874610e-05,1.80012208e-07,55
2,6,8.48698837e-05,6.29848873e-05,3.43942770e-06,6378
2,7,7.18172887e-05,6.81363090e-05,7.59640315e-08,39
2,8,2.30202586e-05,7.33888955e-05,1.16440077e-07,72
2,9,8.87288261e-05,7.67177698e-05,1.56375634e-07,54
2,10,2.29369034e-05,8.35662213e-05,5.00988278e-07,557
2,11,2.04482476e-05,8.66584232e-05,7.79189463e-07,624
2,12,1.21366727e-04,9.31633112e-05,5.35502693e-07,657
