HOLOGRAM NUMBER,OBJECT NUMBER,X POSITION (m),Y POSITION (m),Z POSITION (m),NUMBER OF VOXEL
1,1,2.51890506e-05,2.91397537e-05,2.18313957e-07,95
1,2,8.72489982e-05,6.27479167e-05,4.75456289e-07,218
1,3,2.36500382e-05,7.39062161e-05,1.05484368e-07,32
1,4,8.85819463e-05,7.69008548e-05,3.55683767e-07,64
1,5,2.34425497e-05,8.40035718e-05,2.98141003e-07,181
1,6,2.05101733e-05,8.63201058e-05,4.05133818e-07,155
1,7,1.97999980e-05,8.63500682e-05,0.00000000e+00,3
1,8,1.21375131e-04,9.29645685e-05,2.26622390e-07,135
1,9,1.01401696e-04,1.08653068e-04,7.60876560e-07,375
1,10,1.85283589e-05,1.14493720e-04,4.67281779e-06,4056
1,11,5.60086264e-05,1.17077347e-04,8.07733898e-07,686
1,12,1.14939809e-04,1.18703712e-04,1.65656070e-06,906
1,13,9.74089417e-05,1.20214070e-04,0.00000000e+00,7
1,14,4.39083942e-06,1.04096638e-04,3.76643698e-06,15
1,15,2.18621790e-05,8.55785183e-05,7.08755442e-06,1293
1,16,9.37750010e-05,1.16883064e-06,5.00000033e-06,2
1,17,2.55934901e-05,2.71886292e-05,7.17631337e-06,625
1,18,8.51900404e-05,6.29319256e-05,6.17431397e-06,134
1,19,8.35255123e-05,9.00480591e-05,9.04075478e-06,48
1,20,1.01520243e-04,1.10820278e-04,9.80567711e-06,594
1,21,1.21935642e-04,9.12404794e-05,1.25171646e-05,1284
1,22,9.29063535e-05,1.11974572e-04,1.10999190e-05,383
1,23,4.90050370e-05,1.39670055e-05,1.67617618e-05,227
1,24,9.95428127e-05,4.61104319e-05,1.75895275e-05,224
1,25,7.85316734e-05,4.55841400e-05,1.77815564e-05,50
1,26,1.06182997e-04,1.07014261e-04,1.77199727e-05,77
1,27,1.20858684e-04,7.70328625e-05,2.03833351e-05,88
1,28,1.31269553e-04,5.69971489e-05,2.65339622e-05,890
1,29,8.21194553e-05,6.75356787e-05,2.79325232e-05,3454
1,30,1.00046796e-04,1.20883939e-04,2.47530425e-05,117
1,31,6.59974376e-06,7.05191051e-05,2.80176264e-05,30
1,32,7.58309616e-05,1.23557256e-04,3.20826148e-05,279
1,33,1.27914464e-04,2.60141096e-05,3.17578560e-05,31
1,34,1.05518433e-04,3.86113170e-05,3.50967603e-05,732
1,35,5.42217640e-05,8.60293512e-05,3.64895895e-05,363
1,36,2.56892399e-05,1.28465210e-04,3.73274052e-05,700
1,37,1.12231741e-04,3.59214646e-05,3.96083597e-05,52
1,38,9.42337647e-05,5.35229265e-05,4.00399986e-05,182
1,39,4.13593298e-05,1.33096037e-04,4.19490862e-05,1139
1,40,1.08261294e-04,2.24562609e-05,4.15258255e-05,237
1,41,5.73317520e-05,8.67533745e-05,4.05902283e-05,45
1,42,7.63816133e-05,5.64739275e-05,4.16483708e-05,224
1,43,6.55033946e-05,1.35679569e-04,4.22722223e-05,220
1,44,5.07209224e-05,6.33648888e-05,4.34011854e-05,25
1,45,7.05097409e-05,5.38237437e-05,4.61273848e-05,386
1,46,7.61734482e-05,5.50819896e-05,4.64917175e-05,697
1,47,1.84270339e-05,5.71053715e-05,4.47078964e-05,36
1,48,1.42084064e-05,5.29831741e-05,4.55000009e-05,3
1,49,1.15436058e-04,4.27484083e-05,5.06916658e-05,1090
1,50,1.36815259e-04,1.13066526e-04,5.03690899e-05,147
1,51,4.41937227e-05,1.04913743e-04,5.07997829e-05,224
1,52,1.76566973e-05,7.09449814e-05,5.10119826e-05,80
1,53,4.58502582e-05,1.24703452e-04,5.45464463e-05,1532
1,54,1.13162489e-04,2.45437532e-05,5.19999958e-05,2
1,55,3.35426666e-05,9.03033942e-05,5.35614381e-05,298
1,56,5.01278373e-05,9.04302142e-05,5.31625046e-05,157
1,57,1.13464463e-04,1.29352280e-04,5.41872469e-05,311
1,58,9.19979939e-05,1.18080949e-04,5.50896475e-05,39
1,59,7.73411011e-05,1.24428727e-04,5.75016020e-05,74
1,60,7.91903803e-05,1.24339189e-04,5.72140416e-05,14
1,61,6.37584235e-05,5.20734429e-05,5.98290935e-05,220
1,62,8.84740148e-05,6.68102948e-05,6.13863522e-05,843
1,63,7.88562611e-05,5.46287738e-05,6.12009389e-05,30
1,64,5.09197598e-05,2.55370942e-05,6.17597834e-05,83
1,65,5.32742924e-05,9.86241794e-05,6.18053164e-05,89
1,66,6.99366356e-05,6.24085151e-05,6.23029555e-05,160
1,67,6.70504378e-05,8.93196266e-05,6.26068068e-05,91
1,68,3.97686235e-05,3.27927701e-05,6.26028268e-05,43
1,69,1.41883620e-05,1.00077661e-04,6.24654785e-05,73
1,70,5.30079451e-05,1.02188154e-04,6.25866232e-05,164
2,1,2.51156052e-05,2.90273329e-05,1.97639793e-07,75
2,2,8.42185982e-05,6.21500003e-05,0.00000000e+00,2
2,3,8.45808536e-05,6.30762224e-05,1.32792408e-07,15
2,4,2.36227661e-05,7.37825976e-05,0.00000000e+00,5
2,5,2.32832990e-05,8.35267201e-05,0.00000000e+00,15
2,6,2.06377190e-05,8.68007337e-05,3.62411186e-07,146
2,7,1.21379060e-04,9.31321629e-05,3.50721280e-07,203
2,8,1.01364465e-04,1.08615575e-04,7.60541866e-07,584
2,9,1.02360988e-04,1.13594986e-04,1.55180402e-07,83
2,10,1.64388257e-05,1.14286595e-04,2.59291170e-07,156
2,11,1.86329598e-05,1.14407936e-04,5.16095179e-06,3455
2,12,1.78749997e-05,1.14193535e-04,0.00000000e+00,4
2,13,5.58650936e-05,1.16134906e-04,6.94377206e-07,530
2,14,1.14103255e-04,1.18697673e-04,2.04543949e-06,1190
2,15,8.48739801e-05,6.32413357e-05,5.83936617e-06,511
2,16,2.56594903e-05,2.71406552e-05,7.11872735e-06,640
2,17,2.18267469e-05,8.55566032e-05,7.13638383e-06,890
2,18,8.35561732e-05,8.99898878e-05,8.77749790e-06,107
2,19,1.01552214e-04,1.10807086e-04,9.66074458e-06,881
2,20,9.30332026e-05,1.12000205e-04,1.10437868e-05,252
2,21,1.22079495e-04,9.15292549e-05,1.27144694e-05,676
2,22,4.93775406e-05,1.42104855e-05,1.72098898e-05,233
2,23,1.00536199e-04,4.63276920e-05,1.71249449e-05,87
2,24,9.87429084e-05,4.58758441e-05,1.75966470e-05,104
2,25,7.91802522e-05,4.50175976e-05,1.77371930e-05,72
2,26,1.06189829e-04,1.06828775e-04,1.76167541e-05,51
2,27,1.21024168e-04,7.64869255e-05,2.02670981e-05,153
2,28,8.20275236e-05,6.74012626e-05,2.79141750e-05,3475
2,29,1.00233701e-04,1.20973033e-04,2.47933494e-05,108
2,30,1.31249340e-04,5.69955519e-05,2.69907086e-05,1036
2,31,1.20999994e-05,3.93249975e-05,2.49999994e-05,1
2,32,7.54142311e-05,1.23934675e-04,3.14765311e-05,623
2,33,1.27900508e-04,2.66623265e-05,3.12506018e-05,22
2,34,1.05459541e-04,3.84363630e-05,3.50348928e-05,437
2,35,5.42200069e-05,8.59626816e-05,3.62854917e-05,448
2,36,2.56416388e-05,1.28618281e-04,3.73687835e-05,584
2,37,9.36001234e-05,5.33750281e-05,3.97138319e-05,286
2,38,1.11995250e-04,3.58378493e-05,3.94240124e-05,59
2,39,4.13770722e-05,1.33022913e-04,4.17827832e-05,1129
2,40,5.73081961e-05,8.67214039e-05,4.04458115e-05,104
2,41,1.08280845e-04,2.25743479e-05,4.13774578e-05,204
2,42,7.59710383e-05,5.58563115e-05,4.13397793e-05,434
2,43,6.53709576e-05,1.35201451e-04,4.24748832e-05,269
2,44,5.24072566e-05,2.85214210e-05,4.26417100e-05,7
2,45,5.07965779e-05,6.36230543e-05,4.35000002e-05,7
2,46,1.85062527e-05,5.70868615e-05,4.45587575e-05,17
2,47,7.63102216e-05,5.51461417e-05,4.62410680e-05,706
2,48,1.40247103e-05,5.30686229e-05,4.55493355e-05,89
2,49,7.06167266e-05,5.38097411e-05,4.62755706e-05,318
2,50,1.15837749e-04,4.23964120e-05,5.04325326e-05,1167
2,51,1.37082112e-04,1.13415183e-04,5.06684446e-05,236
